MStarID,FundName,Date,Value,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2022-01-02,207.53400,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2022-01-01,207.53400,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-31,207.53400,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-30,207.47379,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-29,207.38144,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-28,207.45370,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-27,207.39948,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-26,207.46138,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-25,207.46138,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-24,207.46138,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-23,207.46138,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-22,207.58195,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-21,207.52556,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-20,207.83501,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-19,207.73633,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-18,207.73633,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-17,207.73633,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-16,207.79187,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-15,207.35133,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-14,207.48128,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-13,207.58463,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-12,207.41586,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-11,207.41586,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-10,207.41586,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-09,207.34583,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-08,207.35915,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-12-07,207.34113,
